image_filename,primary_class,width,height,ground_truth_count,predicted_count,true_positives,false_positives,false_negatives,top_pred_conf,mean_pred_iou,status
manhole_img-14.jpg,open_damaged_manhole,720,720,2,2,1,1,1,0.8343,0.5708,PARTIAL_MATCH
manhole_img-21.jpg,open_damaged_manhole,720,720,2,2,1,1,1,0.7195,0.415,PARTIAL_MATCH
manhole_img-33.jpg,open_damaged_manhole,720,720,2,2,2,0,0,0.941,0.8453,PERFECT
manhole_img-38.jpg,open_damaged_manhole,720,720,2,1,1,0,1,0.8158,0.9742,PARTIAL_MATCH
manhole_img-57.jpg,open_damaged_manhole,720,720,1,2,1,1,0,0.8496,0.4164,PARTIAL_MATCH
manhole_img-71.jpg,open_damaged_manhole,720,720,2,1,1,0,1,0.937,0.7623,PARTIAL_MATCH
manhole_img-82.jpg,open_damaged_manhole,720,720,2,4,1,3,1,0.8872,0.2128,PARTIAL_MATCH
manhole_img-88.jpg,open_damaged_manhole,720,720,1,1,1,0,0,0.8394,0.8872,PERFECT
manhole_img-92.jpg,open_damaged_manhole,720,720,1,1,1,0,0,0.8296,0.6311,PERFECT
manhole_img-94.jpg,open_damaged_manhole,720,720,1,1,1,0,0,0.8512,0.8461,PERFECT
roadsign_IMG_8100_jpg.rf.efaa0d300ce6c59199fb9f6203b98715.jpg,damaged_missing_road_sign,640,640,0,0,0,0,0,0.0,0.0,CLEAN_NEGATIVE
roadsign_IMG_8105_jpg.rf.7d4a4ebca73d1b48e99a5255dbbdd24b.jpg,damaged_missing_road_sign,640,640,0,0,0,0,0,0.0,0.0,CLEAN_NEGATIVE
roadsign_IMG_8177_jpg.rf.c0514d0b597f4c360f8b9359ac662be9.jpg,damaged_missing_road_sign,640,640,0,0,0,0,0,0.0,0.0,CLEAN_NEGATIVE
roadsign_IMG_8364_jpg.rf.9cb8dcfa2b6c97fc3a4d5db1899b9331.jpg,damaged_missing_road_sign,640,640,0,0,0,0,0,0.0,0.0,CLEAN_NEGATIVE
roadsign_IMG_8385_jpg.rf.bdf28ca3ab2a803ca457af9bd1142571.jpg,damaged_missing_road_sign,640,640,0,0,0,0,0,0.0,0.0,CLEAN_NEGATIVE
roadsign_IMG_8666_jpg.rf.e79ba09cf8bbb4ca1d2e1e223e5244be.jpg,damaged_missing_road_sign,640,640,1,0,0,0,1,0.0,0.0,TOTAL_MISS
roadsign_IMG_8678_jpg.rf.bb0bc3d760e66d124ab6970b838a7b11.jpg,damaged_missing_road_sign,640,640,1,1,1,0,0,0.9445,0.7968,PERFECT
roadsign_IMG_8695_jpg.rf.6aa4dafe486b4048103989e84791eb39.jpg,damaged_missing_road_sign,640,640,1,1,1,0,0,0.3311,0.8905,PERFECT
roadsign_IMG_8770_jpg.rf.ce11afa1ea33a0a7ced58feed7416701.jpg,damaged_missing_road_sign,640,640,1,0,0,0,1,0.0,0.0,TOTAL_MISS
roadsign_IMG_8955_jpg.rf.a7a0ee13ea9a42ce421604641ed8063d.jpg,damaged_missing_road_sign,640,640,1,1,0,1,1,0.412,0.0,TOTAL_MISS
waterlogging_improved_waterloggingt-25-_jpg.rf.9b72dfc19a0a62cc28ccc7e9cb169b2c.jpg,road_waterlogging,512,384,1,1,0,1,1,0.3018,0.1084,TOTAL_MISS
waterlogging_waterloggingt-11-_jpg.rf.c46d95b368505ce2e2b4d56d0fb6101f.jpg,road_waterlogging,512,384,1,1,0,1,1,0.2868,0.0,TOTAL_MISS
waterlogging_waterloggingt-11-_jpg.rf.d3926ae9649b48019ad0de93247b8776.jpg,road_waterlogging,512,384,3,0,0,0,3,0.0,0.0,TOTAL_MISS
waterlogging_waterloggingt-110-_jpg.rf.e64ab83a5986ee642135179a119dde32.jpg,road_waterlogging,512,384,6,2,1,1,5,0.277,0.4876,PARTIAL_MATCH
waterlogging_waterloggingt-114-_jpg.rf.59969ea013a1a3687220d18eb0c84d06.jpg,road_waterlogging,512,384,2,2,1,1,1,0.3886,0.2778,PARTIAL_MATCH
waterlogging_waterloggingt-114-_jpg.rf.5eda7421696a9f024c32d928f3a39eab.jpg,road_waterlogging,512,384,2,2,0,2,2,0.5302,0.0,TOTAL_MISS
waterlogging_waterloggingt-114-_jpg.rf.a77c20c66646123b6ed8f2712dc711a2.jpg,road_waterlogging,512,384,5,2,0,2,5,0.7755,0.1563,TOTAL_MISS
waterlogging_waterloggingt-127-_jpg.rf.0e8185f58b2e06d71649cff3a82df08c.jpg,road_waterlogging,512,384,2,1,0,1,2,0.6298,0.4448,TOTAL_MISS
waterlogging_waterloggingt-127-_jpg.rf.5b6ee9589c8ebaa451f0d866f47c0e2a.jpg,road_waterlogging,512,384,2,1,1,0,1,0.8041,0.6252,PARTIAL_MATCH
waterlogging_waterloggingt-128-_jpg.rf.5f4420da5b81992ba7693869e96d14ee.jpg,road_waterlogging,512,384,0,1,0,1,0,0.2957,0.0,FALSE_ALARM
waterlogging_waterloggingt-128-_jpg.rf.da43c075e1a93e1a7d1948b6f9febdee.jpg,road_waterlogging,512,384,1,2,0,2,1,0.5661,0.1591,TOTAL_MISS
